sha256	kept	removed	bytes
38caf5fa9f77e989dcdc5bf14f7379901c6dd0f4eb287c02a81e34cb89e2f32b	30_Pharmacopoeia/_Trip_Reports/Belladonna - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/Belladonna - Trip Reports.md	8352
8dc3b849ef14e2109762e4ba94be153915b387aaa3c0c6c22d7db556d68ed9d3	30_Pharmacopoeia/_Trip_Reports/Aconite - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/Aconite - Trip Reports.md	3649
716834bb26652642fc4088ca5b9c5680e6520a731e26805b70f7c4a353d7dc51	30_Pharmacopoeia/_Trip_Reports/MDMA - Trip Reports.md	30_Pharmacopoeia/_pharmacopoeia-vault/Trip Reports/MDMA - Trip Reports.md	4475
c3eabe0c055e57f4df744b29d3be83fc9a5dc443837eea3b91870566821bc183	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-09.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-09.md	71702
848b6515e4dbe12e2ec8fd8dc435cb052c1167e7df1c1db6dab47ffb1f85de99	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-02.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-02.md	50622
f0f7a2c894ba5b6e1b5d95e5d6998f536a04ff3d875d45c66ad20bf6f7f6acca	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-05.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-05.md	71714
8c13245770a3c05fe12aadd208ea8031d501c2b73c75032f0e249cb20f62c5e4	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-08.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-08.md	44353
79181545fff827bd888f993a697e0ae2788d0bc36924b706217a55fb12963152	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-04.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-04.md	67225
217e85cf227dc5124fb339776d8011baecf2227ba33bacbef231677fc7d9ad33	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-03.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-03.md	67167
2e43308d0b7e74d9185f561f2af63feb84785551996d7ad926c710ed83b6c038	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-10.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-10.md	615
0b6a4b2940fbf1355c8b704c12165fad4ab98ba3fd334728c437b2230cd776de	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-06.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-06.md	60130
7d6c98e4debbfcc88bb60a77a6115656b71064256db242692946100de68e0e48	30_Pharmacopoeia/Medical/Long_Form_Parts/05_Medical__part-07.md	30_Pharmacopoeia/_pharmacopoeia-vault/05_Medical/05_Medical__part-07.md	64067
081ad85c3db47289cfb4ad10ce906abf743361412cbf82a674c6676e11f410dd	30_Pharmacopoeia/Functional/Long_Form_Parts/03_Functional-Somatic__part-14.md	30_Pharmacopoeia/_pharmacopoeia-vault/03_Functional-Somatic/03_Functional-Somatic__part-14.md	55950
93341d6411ff97e08474083a2b93385e1c53b0202e4d6b56a2c370cfb3eb4c09	30_Pharmacopoeia/Functional/Long_Form_Parts/03_Functional-Somatic__part-05.md	30_Pharmacopoeia/_pharmacopoeia-vault/03_Functional-Somatic/03_Functional-Somatic__part-05.md	71931
f38910d1313c5785620b051e2134f0a03af141221b36a810c36f7264a7f8c2ca	30_Pharmacopoeia/Functional/Long_Form_Parts/03_Functional-Somatic__part-21.md	30_Pharmacopoeia/_pharmacopoeia-vault/03_Functional-Somatic/03_Functional-Somatic__part-21.md	75216
